u1,u2,nota_final,faltas,situação,pk_matrícula_cod_disciplina
9.6,9.6,9.6,0,APROVADO,202006559INF0311
7.7,7.7,7.7,0,APROVADO,202006559INF0288
7,8.6,7.8,0,APROVADO,202006559INF0313
9.3,9.3,9.3,0,APROVADO,202006559INF0290
8.9,8.9,8.9,0,APROVADO,202006559INF0312
7.9,7.9,7.9,0,APROVADO,202006559IME0351
6.8,6.8,6.8,0,APROVADO,202006559INF0013
9.9,9.9,9.9,0,APROVADO,202006559INF0309
8,8,8,2,APROVADO,202006559INF0056
1.4,1.4,1.4,8,REPROVADO,202006559INF0310
9.8,9.8,9.8,0,APROVADO,202006559INF0287
7.5,7.5,7.5,0,APROVADO,202006559INF0015
8.7,8.7,8.7,0,APROVADO,202006559INF0022
9.9,9.9,9.9,0,APROVADO,202006559INF0308
9.7,9.7,9.7,4,APROVADO,202006559INF0164
8.7,8.7,8.7,0,APROVADO,202006559INF0286
9.6,9.6,9.6,0,APROVADO,202006559INF0353
7.2,7.2,7.2,0,APROVADO,202006559INF0305
8,7.5,7.8,0,APROVADO,202006559INF0307
9.4,9.4,9.4,0,APROVADO,202006559IME0378
8.8,8.8,8.8,0,APROVADO,202006559IME0350
9.5,9.5,9.5,0,APROVADO,202006559INF0283
9.5,8.8,9.2,0,APROVADO,202006559INF0285
7.4,7.4,7.4,4,APROVADO,202006559INF0284
8.8,8.8,8.8,12,APROVADO,202006559INF0323
5.0,8.0,6.5,14,APROVADO,202006559FAC0435
9.6,9.6,9.6,12,APROVADO,202006559INF0289
10,10,10,14,APROVADO,202006559FAC0307
8.5,8.5,10,12,APROVADO,202006559FAC0345 
